sub;pass;activity;math;cluster
1152;1;-616;1532;16
1153;0;52;-434;16
1154;1;267;49;16
1155;0;-1728;0,56;16
1156;0;-4;-965;16
1157;0;-934;-228;16
1158;0;-1273;-527;16
1159;1;1517;-0,19;16
1160;1;-104;672;16
1161;0;1462;-812;16
1162;1;-767;1267;16
1163;1;-2294;1268;16
1164;0;-1466;1795;16
1165;1;1053;251;16
1166;1;-1503;697;16
1167;1;905;797;16
1168;1;2068;354;16
1169;1;-426;2,33;16
1170;0;-1296;65;16
1171;1;624;661;16
1172;0;-72;-0,61;16
1173;0;606;65;16
1174;1;189;1475;16
1175;0;-1402;-594;16
1176;1;-331;633;16
1177;1;0,61;-276;16
1178;0;0,83;-1288;16
1179;1;867;1033;16
1180;0;787;-954;16
1181;1;159;3349;16
1182;1;-49;439;16
1183;0;-147;-114;16
1184;0;14;-1798;16
1185;0;-2535;789;16
1186;0;1255;-471;16
1187;0;409;-1525;16
1188;0;2435;-1239;16
1189;0;2708;-485;16
1190;0;-1113;1024;16
1191;0;7;58;16
1192;1;945;181;16
1193;0;591;-697;16
1194;0;13;-821;16
1195;0;-1077;-232;16
1196;0;-454;-1137;16
1197;1;-724;0,61;16
1198;0;-0,89;397;16
1199;0;592;-1153;16
1200;0;-0,25;-1861;16
1201;0;-749;-562;16
1202;0;-217;-129;16
1203;0;-2233;467;16
1204;0;-2553;-463;16
1205;0;-0,95;874;16
1206;1;824;279;16
1207;1;-108;1981;16
1208;0;793;-1545;16
1209;0;1695;-1292;16
1210;0;-826;-335;16
1211;0;-0,54;-417;16
1212;1;-1432;365;16
1213;0;-858;198;16
1214;0;999;-947;16
1215;0;-1581;102;16
1216;0;-0,89;-783;16
1217;0;0,05;-954;16
1218;0;-102;388;16
1219;1;857;788;16
1220;1;257;-63;16
1221;0;298;-1377;16
1222;0;1764;-1494;16
1223;0;-377;308;16
1224;0;377;-593;16
1225;1;2928;-572;17
1226;1;643;816;17
1227;0;-2664;879;17
1228;1;328;715;17
1229;1;-192;0,08;17
1230;1;888;-31;17
1231;1;259;168;17
1232;1;503;783;17
1233;1;-59;459;17
1234;1;-1114;-1624;17
1235;1;207;-904;17
1236;1;0,1;1714;17
1237;1;1067;-585;17
1238;1;436;-691;17
1239;1;-1272;218;17
1240;1;-0,29;-1004;17
1241;1;-547;-1045;17
1242;0;-2085;805;17
1243;1;-1604;1;17
1244;1;-0,1;642;17
1245;0;-1107;-1222;17
1246;1;909;295;17
1247;1;1264;-725;17
1248;1;-0,41;1466;17
1249;1;1443;45;17
1250;1;-532;1144;17
1251;1;2,26;-2179;17
1252;1;1317;-702;17
1253;1;106;314;17
1254;1;297;402;17
1255;1;-821;575;17
1256;1;1,08;267;17
1257;1;395;-21;17
1258;1;-416;-907;17
1259;1;-1323;1387;17
1260;1;-0,56;119;17
1261;1;-0,49;235;17
1262;1;364;-852;17
1263;1;-1171;576;17
1264;1;-1094;1224;17
1265;1;-74;-1143;17
1266;1;-0,3;118;17
1267;0;-1865;2117;17
1268;1;-195;349;17
1269;1;604;73;17
1270;1;-1426;-327;17
1271;1;-732;54;17
1272;1;1252;1339;17
1273;1;-505;1383;17
1274;1;1032;984;17
1275;1;1,18;243;17
1276;1;551;697;17
1277;1;-1363;-455;17
1278;1;-117;-728;17
1279;1;-961;-651;17
1280;1;758;685;17
1281;0;-25;1493;17
1282;1;1105;-0,72;17
1283;1;178;-1124;17
1284;1;-458;531;17
1285;1;-1094;-0,05;17
1286;1;562;1577;17
1287;1;8;-1382;17
1288;1;1054;-0,18;17
1289;1;-853;251;17
1290;1;459;-1046;17
1291;1;127;0,39;17
1292;1;-1732;-0,33;17
1293;1;1492;-1311;17
1294;1;0,03;-379;17
1295;1;-497;451;17
1296;1;-856;-423;17
1297;0;0,71;848;17
1298;1;-408;-1043;17
1299;1;1,14;-1077;17
1300;1;331;543;17
1301;1;783;1103;17
1302;1;1145;-709;17
1303;1;684;-269;17
1304;1;603;1021;17
1305;0;-473;1734;17
1306;1;-995;-77;17
1307;1;1121;-7;17
1308;1;-114;1465;18
1309;0;-264;898;18
1310;1;1612;1529;18
1311;0;633;0,3;18
1312;0;-407;781;18
1313;0;74;-278;18
1314;1;44;511;18
1315;1;73;697;18
1316;0;-0,19;383;18
1317;0;-122;-1611;18
1318;0;-583;-1114;18
1319;0;294;-742;18
1320;0;1157;-628;18
1321;0;-1286;266;18
1322;1;1754;-298;18
1323;1;119;-184;18
1324;0;63;-644;18
1325;0;-107;471;18
1326;0;-423;74;18
1327;1;-583;986;18
1328;0;-0,88;-1187;18
1329;1;1,05;-4;18
1330;1;1147;879;18
1331;1;-1173;231;18
1332;1;-317;-227;18
1333;1;1098;-314;18
1334;0;-906;-145;18
1335;0;-987;541;18
1336;0;164;-273;18
1337;0;741;-747;18
1338;0;617;-228;18
1339;0;-119;-382;18
1340;0;-109;-0,49;18
1341;0;-0,86;-259;18
1342;1;-1152;1627;18
1343;0;479;-927;18
1344;1;-325;444;18
1345;0;0,27;0,3;18
1346;0;-205;-828;18
1347;0;-1667;-395;18
1348;0;-1191;1613;18
1349;1;-283;1128;18
1350;0;-1194;0;18
1351;0;0,36;-98;18
1352;1;-415;-97;18
1353;0;127;0,57;18
1354;0;269;-593;18
1355;0;472;-67;18
1356;1;768;1126;18
1357;0;-803;361;18
1358;0;-615;-964;18
1359;1;351;1005;18
1360;0;0,14;-28;18
1361;0;601;376;18
1362;0;1501;-0,55;18
1363;0;55;-931;18
1364;1;1717;519;18
1365;1;1386;-604;18
1366;0;-1077;-1208;18
1367;0;463;-1474;18
1368;1;1478;-17;18
1369;1;-0,05;1055;18
1370;0;-593;-1843;18
1371;0;-773;0,9;18
1372;1;387;697;18
1373;1;1171;1622;18
1374;0;778;-0,88;18
1375;0;-627;4;18
1376;0;-1,64;-346;18
1377;0;647;-754;18
1378;0;224;-548;18
1379;1;761;1434;18
1380;1;-67;1802;18
1381;0;-637;732;18
1382;1;-395;-0,95;18
1383;0;1708;-702;18
1384;0;1395;-1078;18
1385;0;-278;-45;18
1386;0;-2019;-387;18
1387;0;-1499;-583;18
1388;0;438;-0,47;18
1389;1;1042;395;18
1390;0;-552;231;18
1391;1;2,65;0,74;18
1392;1;331;1354;18
1393;1;1603;126;18
1394;0;584;234;18
1395;0;1007;-1518;18
1396;1;-49;1215;18
1397;0;-1679;-603;18
1398;0;-1,27;-499;19
1399;0;-123;195;19
1400;1;1817;0,21;19
1401;0;-381;-842;19
1402;1;879;2422;19
1403;0;45;851;19
1404;0;886;282;19
1405;1;551;-314;19
1406;0;165;-0,44;19
1407;0;-1978;312;19
1408;0;432;-234;19
1409;0;-0,91;123;19
1410;0;-566;-742;19
1411;0;642;-701;19
1412;0;0,66;593;19
1413;0;-503;-0,49;19
1414;0;817;679;19
1415;0;0,78;-975;19
1416;0;-1251;-379;19
1417;1;1736;1116;19
1418;0;-744;-1096;19
1419;0;-1022;2339;19
1420;0;132;-262;19
1421;0;81;-421;19
1422;0;-127;1139;19
1423;0;26;-1525;19
1424;0;85;-1,54;19
1425;0;598;-929;19
1426;0;2169;-416;19
1427;0;-845;98;19
1428;0;-1687;-322;19
1429;0;-1833;-41;19
1430;0;-0,95;236;19
1431;1;-658;497;19
1432;1;1159;-162;19
1433;0;-1503;-582;19
1434;0;1882;-793;19
1435;0;-257;-225;19
1436;0;313;1357;19
1437;0;-102;-1,03;19
1438;0;307;-565;19
1439;0;267;-1351;19
1440;0;1382;-869;19
1441;0;-1,06;1326;19
1442;0;192;-88;19
1443;1;84;606;19
1444;0;-2058;668;19
1445;0;1,2;-504;19
1446;0;-0,48;-687;19
1447;0;-461;206;19
1448;1;198;1132;19
1449;0;-1216;-77;19
1450;0;275;478;19
1451;0;-0,39;1429;19
1452;1;-95;0,56;19
1453;0;-2536;-613;19
1454;0;0,05;-1566;19
1455;0;-253;16;19
1456;0;-0,45;772;19
1457;0;1061;-776;19
1458;1;-996;-307;20
1459;0;-2607;322;20
1460;0;888;497;20
1461;0;236;-441;20
1462;1;96;-347;20
1463;1;173;983;20
1464;1;-35;1316;20
1465;1;-2112;-1521;20
1466;1;-289;-0,13;20
1467;0;986;-846;20
1468;0;0,16;-563;20
1469;1;-1282;-1251;20
1470;0;148;927;20
1471;1;-156;-1,57;20
1472;0;192;1538;20
1473;0;745;-505;20
1474;0;1004;-956;20
1475;0;-2227;1226;20
1476;0;1394;-263;20
1477;0;0,47;529;20
1478;0;-1549;0,54;20
1479;0;-2693;0,36;20
1480;1;131;705;20
1481;1;-0,52;-137;20
1482;1;-61;-257;20
1483;0;-1224;636;20
1484;0;-1227;-0,31;20
1485;0;-368;-574;20
1486;1;1527;-933;20
1487;0;-1138;289;20
1488;0;0,5;-442;20
1489;0;-0,86;275;20
1490;0;723;461;20
1491;0;-259;1189;20
1492;1;1678;1016;20
1493;1;-0,46;-788;20
1494;0;513;105;20
1495;1;452;518;20
1496;1;311;-248;20
1497;1;-187;-397;20
1498;1;433;-0,33;20
1499;0;188;-669;20
1500;1;1245;225;20
1501;1;-1243;-1179;20
1502;1;-49;0,25;20
1503;0;742;985;20
1504;1;252;-1,08;20
1505;1;2056;389;20
1506;1;207;-775;20
1507;0;-358;234;20
1508;1;-419;-1524;20
1509;1;1204;1314;20
1510;1;173;1967;20
1511;1;993;823;20
1512;0;156;622;20
1513;1;0,22;1283;20
1514;0;587;308;20
1515;1;2088;404;20
1516;0;0,09;1,04;20
1517;0;783;-718;20
1518;1;1762;521;20
1519;1;122;-305;20
1520;0;-86;427;20
1521;1;297;-1175;20
1522;1;117;1422;20
1523;1;1;-1616;20
1524;0;-2026;1091;20
1525;0;-1133;1827;20
1526;0;-115;-936;20
1527;1;-645;-739;20
1528;1;-484;-1163;20
1529;1;622;-1771;20
1530;1;997;1136;20
1531;1;-285;-317;20
1532;0;-425;1168;20
1533;1;1299;-1209;20
1534;1;-67;-712;20
1535;1;1353;434;20
1536;1;-537;337;20
1537;0;-1961;78;20
1538;1;0,86;-274;20
1539;0;309;-0,15;20
1540;1;2903;-345;20
1541;1;-654;-1131;20
1542;1;799;-691;20
1543;0;-896;305;20
1544;1;949;-693;20
1545;1;-1343;-767;20
1546;1;742;1066;20
1547;1;-123;741;20
1548;1;131;781;20
1549;1;-779;-913;20
1550;1;-427;247;20
1551;0;165;597;20
1552;0;-1534;-0,23;20
1553;0;-1535;1389;20
1554;1;359;1227;20
1555;1;723;1061;20
1556;0;-1259;-1292;21
1557;0;1845;-698;21
1558;0;0,22;-0,13;21
1559;0;506;-532;21
1560;0;-259;-1677;21
1561;0;183;-1756;21
1562;0;971;1063;21
1563;1;713;1504;21
1564;0;174;1293;21
1565;0;-0,22;1,01;21
1566;0;-687;2517;21
1567;0;-595;-3529;21
1568;0;-355;-531;21
1569;0;2614;-263;21
1570;0;-1177;-0,46;21
1571;0;-68;-388;21
1572;0;263;412;21
1573;0;-377;-618;21
1574;0;388;-846;21
1575;0;-77;-906;21
1576;0;-0,13;75;21
1577;0;826;709;21
1578;0;1594;-662;21
1579;0;-881;-1872;21
1580;0;-295;978;21
1581;0;-415;-35;21
1582;0;1154;-104;21
1583;0;193;-1475;21
1584;0;403;-12;21
1585;0;-1754;1045;21
1586;0;-162;788;21
1587;0;0,45;-0,11;21
1588;0;-1674;1565;21
1589;0;-1,09;-563;21
1590;0;0,21;0,59;21
1591;0;-1063;-613;21
1592;0;-1,14;-928;21
1593;1;0,16;-345;21
1594;0;866;-1,3;21
1595;0;-511;-1281;21
1596;0;92;-1,4;21
1597;0;281;-1759;21
1598;0;0,33;-1272;21
1599;0;-819;-61;21
1600;0;435;-581;21
1601;0;-1057;-945;21
1602;1;-1079;426;21
1603;0;-215;0,44;21
1604;0;-14;839;21
1605;0;73;-1109;21
1606;0;895;-1409;21
1607;0;-1557;-87;21
1608;0;725;-451;21
1609;0;-1092;-2158;21
1610;0;-0,9;-253;21
1611;1;366;2127;21
1612;0;1211;246;21
1613;1;-0,06;1517;21
1614;0;901;514;21
1615;0;265;-1405;21
1616;0;0,63;-267;21
1617;0;414;245;21
1618;1;556;405;22
1619;1;-1,27;-1358;22
1620;1;1376;-304;22
1621;1;76;-608;22
1622;0;-756;606;22
1623;1;-1158;74;22
1624;1;-1535;1154;22
1625;1;1655;27;22
1626;0;-183;-1261;22
1627;0;-768;-1645;22
1628;1;1576;865;22
1629;1;-1836;301;22
1630;1;0,02;-421;22
1631;0;-665;-146;22
1632;1;-317;-793;22
1633;1;1058;1199;22
1634;1;1277;-526;22
1635;1;1866;916;22
1636;1;227;-618;22
1637;0;2269;-1679;22
1638;0;1083;-2596;22
1639;1;115;-203;22
1640;1;265;-562;22
1641;1;1294;-557;22
1642;1;-907;2051;22
1643;1;617;179;22
1644;1;213;-0,06;22
1645;0;-917;-1144;22
1646;0;1163;-1898;22
1647;1;82;-821;22
1648;1;719;-275;22
1649;1;-888;453;22
1650;1;0,92;-812;22
1651;1;873;-4;22
1652;1;963;1026;22
1653;1;511;-215;22
1654;1;-521;781;22
1655;1;0,35;-375;22
1656;1;646;504;22
1657;1;-1303;678;22
1658;1;828;1133;22
1659;1;-904;-1009;22
1660;1;-67;645;22
1661;0;867;-1616;22
1662;1;-1163;-328;22
1663;1;1,03;482;22
1664;1;1102;-143;22
1665;0;-554;127;22
1666;1;-167;1542;22
1667;1;1395;-8;22
1668;1;-109;818;22
1669;1;289;648;22
1670;1;1919;1992;22
1671;0;1257;-1368;22
1672;1;1198;415;22
1673;1;889;-571;22
1674;1;-507;-864;22
1675;1;1641;-963;22
1676;1;-1219;-0,17;22
1677;0;-2744;-0,78;22
1678;1;1245;78;22
1679;1;255;561;22
1680;1;-57;164;22
1681;1;127;1065;22
1682;1;-1075;-217;22
1683;1;673;1487;22
1684;0;-0,71;-513;22
1685;1;0,89;1807;22
1686;1;-0,17;1855;22
1687;1;-412;0,57;22
1688;1;-556;-927;22
1689;1;956;-224;22
1690;1;-77;-28;22
1691;1;7;0,2;22
1692;1;1072;-248;22
1693;1;951;-1831;22
1694;0;-43;-1879;22
1695;1;0,73;784;22
1696;1;-2183;125;22
1697;1;1008;-463;22
1698;1;0,69;47;23
1699;0;1888;339;23
1700;0;-1461;478;23
1701;0;437;-809;23
1702;1;-43;-1468;23
1703;0;-639;-0,02;23
1704;1;755;971;23
1705;0;-1592;714;23
1706;0;-38;1481;23
1707;0;843;1084;23
1708;0;-204;1279;23
1709;0;-1955;606;23
1710;0;753;1416;23
1711;1;1,21;-87;23
1712;0;-1189;524;23
1713;1;-0,89;-379;23
1714;1;522;46;23
1715;0;191;689;23
1716;0;-838;1427;23
1717;1;1084;-1951;23
1718;1;885;745;23
1719;1;792;-809;23
1720;1;1123;-1,07;23
1721;0;1,1;1,17;23
1722;0;-324;-1032;23
1723;1;-118;-1756;23
1724;0;152;-136;23
1725;0;-607;-279;23
1726;0;0,85;165;23
1727;1;3,29;-514;23
1728;0;-846;853;23
1729;0;288;1098;23
1730;0;-261;1282;23
1731;0;-84;0,41;23
1732;1;-2122;-141;23
1733;1;1225;1307;23
1734;1;-0,31;0,05;23
1735;1;-1176;-1476;23
1736;0;1264;-1715;23
1737;1;522;-121;23
1738;0;-559;-11;23
1739;0;-666;-1201;23
1740;1;-564;-1249;23
1741;0;-785;9;23
1742;0;576;-131;23
1743;1;969;-477;23
1744;0;-932;833;23
1745;1;1711;-354;23
1746;0;-0,49;493;23
1747;0;-968;-523;23
1748;0;1412;699;23
1749;1;1667;1129;23
1750;1;665;371;23
1751;0;179;0,19;23
1752;0;-1343;938;23
1753;1;1622;1,79;23
1754;0;-1413;-84;23
1755;0;485;-331;23
1756;0;603;-1091;23
1757;1;502;-1167;23
1758;0;-248;-1137;23
1759;1;95;602;23
1760;0;911;71;23
1761;0;-1058;-636;23
1762;0;-2643;0,77;23
1763;0;-957;-691;23
1764;1;-609;-828;23
1765;0;988;741;23
1766;0;-771;-828;23
1767;1;731;277;23
1768;1;-0,78;-1134;23
1769;0;-958;-354;23
1770;0;855;671;23
1771;0;606;-887;23
1772;0;-699;174;23
1773;0;-1133;0,39;23
1774;1;-242;-615;24
1775;1;1337;59;24
1776;1;205;841;24
1777;1;-265;-716;24
1778;1;318;-918;24
1779;1;145;-0,02;24
1780;1;916;-1202;24
1781;0;-1432;2652;24
1782;1;2167;-908;24
1783;1;192;-22;24
1784;1;-0,54;-279;24
1785;0;-1906;1624;24
1786;1;68;-27;24
1787;1;-173;-69;24
1788;1;-211;-929;24
1789;1;1301;-178;24
1790;0;-1069;0,53;24
1791;1;707;595;24
1792;1;752;-1051;24
1793;0;-832;-113;24
1794;1;764;196;24
1795;1;132;-472;24
1796;1;-306;1744;24
1797;0;-321;2424;24
1798;1;1734;786;24
1799;1;0,5;15;24
1800;1;-1516;-1604;24
1801;1;-1127;-804;24
1802;1;623;-264;24
1803;1;-0,65;-483;24
1804;1;1067;-877;24
1805;1;-1116;-674;24
1806;1;-366;629;24
1807;1;1407;622;24
1808;1;-854;-1767;24
1809;0;-391;668;24
1810;1;-845;-817;24
1811;1;-181;508;24
1812;1;256;-989;24
1813;1;-283;1656;24
1814;1;-443;0,15;24
1815;1;332;1197;24
1816;1;1931;0,96;24
1817;1;912;-1951;24
1818;1;1167;-1745;24
1819;1;1074;934;24
1820;1;2723;-384;24
1821;1;127;84;24
1822;1;-615;558;24
1823;1;751;65;24
1824;0;1245;0,59;24
1825;1;-216;38;24
1826;1;9;1258;24
1827;0;32;1117;24
1828;0;-0,06;0,03;24
1829;0;-1418;-56;24
1830;0;-2647;936;24
1831;1;95;1342;24
1832;1;439;-199;24
1833;0;-428;211;24
1834;1;166;548;24
1835;0;-0,57;1,4;24
1836;1;-643;-528;24
1837;1;1,79;733;24
1838;1;-1272;316;24
1839;0;-843;681;24
1840;0;-2887;1342;24
1841;1;-581;544;24
1842;1;-172;-659;24
1843;1;-1,08;0,44;24
1844;1;-1029;-0,08;24
1845;1;817;-794;24
1846;1;-561;-856;24
1847;1;709;61;24
1848;1;666;-992;24
1849;1;-1313;-1376;24
1850;1;366;221;24
1851;1;-242;-514;24
1852;0;-1,07;746;24
1853;1;1347;0,82;24
1854;1;298;1095;24
1855;1;551;-0,19;24
1856;0;267;671;24
1857;0;-2304;2159;24
1858;0;-2204;1411;24
1859;1;-636;287;24
1860;1;-211;485;24
1861;1;342;361;24
1862;1;1401;15;24
1863;1;0,03;0,17;24
1864;1;486;1423;24
1865;1;1283;481;24
1866;1;658;-0,26;24
1867;0;-723;213;25
1868;1;918;-305;25
1869;0;-1862;-599;25
1870;0;506;-274;25
1871;1;-182;1091;25
1872;1;711;1448;25
1873;1;-433;522;25
1874;1;2267;905;25
1875;0;1053;47;25
1876;1;837;-237;25
1877;1;736;-692;25
1878;1;396;-744;25
1879;0;96;-837;25
1880;0;-167;-1421;25
1881;0;-95;343;25
1882;0;-1322;-1101;25
1883;1;251;143;25
1884;0;-1151;-2313;25
1885;1;-112;959;25
1886;0;1703;-696;25
1887;1;-945;918;25
1888;1;-533;729;25
1889;0;196;-1315;25
1890;1;629;1128;25
1891;0;1912;-516;25
1892;1;81;1429;25
1893;0;341;525;25
1894;1;473;346;25
1895;0;-948;-326;25
1896;1;473;-164;25
1897;1;-2052;-0,62;25
1898;0;-912;-831;25
1899;0;1065;-1385;25
1900;0;-432;-361;25
1901;1;676;372;25
1902;1;-859;227;25
1903;0;-896;-1665;25
1904;0;-1,06;217;25
1905;0;-617;105;25
1906;1;168;-747;25
1907;1;-903;-965;25
1908;0;-452;-1158;25
1909;1;-207;374;25
1910;1;-0,29;966;25
1911;0;631;0,24;25
1912;0;267;-1919;25
1913;0;-1,3;-115;25
1914;1;1153;744;25
1915;1;-292;942;25
1916;1;663;-851;25
1917;0;-479;-991;25
1918;1;72;1113;25
1919;1;195;-0,34;25
1920;0;213;-1205;25
1921;0;521;-1181;25
1922;0;663;-1652;25
1923;0;-875;-0,92;25
1924;0;-735;-832;25
1925;1;-0,37;551;25
1926;1;2037;1205;25
1927;1;813;1158;25
1928;1;706;2033;25
1929;1;-552;1517;25
1930;0;194;-538;25
1931;0;0,65;-1305;25
1932;1;-429;1735;25
1933;0;2482;-3197;25
1934;0;-503;-152;25
1935;0;-1507;-1342;25
1936;0;701;-1411;25
1937;1;881;-664;25
1938;0;-857;-1184;25
1939;1;-289;144;25
1940;0;-348;-1134;25
1941;1;-929;-149;25
1942;1;1743;853;25
1943;1;2235;-839;25
1944;0;-1509;1024;25
1945;1;-471;259;25
1946;1;742;1201;25
1947;0;901;-2449;25
1948;1;1079;1589;25
1949;1;1733;-1157;25
1950;1;-389;2567;25
1951;0;414;-685;25
1952;1;296;223;25
1953;0;-2151;608;25
1954;1;1203;212;25
1955;0;-1,28;-1196;25
1956;1;1713;545;25
1957;0;-1654;-2477;25
1958;1;-0,68;1777;25
1959;0;-811;1147;25
1960;1;-987;0,95;25
1961;1;181;57;25
1962;0;-328;-852;25
1963;0;289;-222;26
1964;0;-151;-331;26
1965;1;976;-835;26
1966;0;-0,28;-615;26
1967;0;-528;1,97;26
1968;0;-236;-554;26
1969;0;-116;-938;26
1970;0;1432;1782;26
1971;0;-57;147;26
1972;0;-1804;1186;26
1973;0;754;-0,56;26
1974;0;901;144;26
1975;0;-559;-0,15;26
1976;0;523;1694;26
1977;1;1285;-489;26
1978;0;657;424;26
1979;0;1144;-439;26
1980;0;-905;314;26
1981;0;-366;-484;26
1982;0;-1901;413;26
1983;1;-2007;-709;26
1984;0;266;2181;26
1985;0;168;387;26
1986;0;-108;548;26
1987;0;-78;882;26
1988;0;217;-1596;26
1989;0;-1638;322;26
1990;1;1224;-1,17;26
1991;0;0,07;442;26
1992;0;-386;738;26
1993;1;923;-1986;26
1994;0;-287;851;26
1995;0;-1079;1367;26
1996;0;-1245;936;26
1997;0;-1145;426;26
1998;0;0,47;-189;26
1999;1;-0,95;-1754;26
2000;0;-906;675;26
2001;0;234;-5;26
2002;0;1494;-1348;26
2003;0;416;-357;26
2004;0;-1529;965;26
2005;0;-285;1847;26
2006;1;-815;-863;26
2007;0;851;901;26
2008;0;75;614;26
2009;0;702;-1613;26
2010;0;-798;1393;26
2011;0;-1,11;-289;26
2012;0;-441;-119;26
2013;0;1591;-683;26
2014;0;-931;1456;26
2015;0;587;253;26
2016;0;-71;-387;26
2017;1;1864;-573;26
2018;0;-168;922;26
2019;0;84;-863;26
2020;0;803;104;26
2021;0;-91;1257;26
2022;1;-1241;-1517;26
2023;0;-27;-415;26
2024;0;233;201;26
2025;1;-0,42;-0,74;26
2026;0;-1386;-745;26
2027;0;1172;-596;26
2028;0;391;-0,49;26
2029;0;-19;0,11;26
2030;0;-957;-462;26
2031;1;1,74;-608;26
2032;0;318;1205;26
2033;0;359;116;26
2034;0;217;386;26
2035;0;-763;-1261;27
2036;1;-2,14;-1442;27
2037;0;339;-1291;27
2038;0;-1091;33;27
2039;1;734;523;27
2040;0;-553;1292;27
2041;0;-222;-2652;27
2042;0;-537;-589;27
2043;0;0,31;-601;27
2044;1;1752;-516;27
2045;1;-78;357;27
2046;0;955;-361;27
2047;0;555;1121;27
2048;0;218;624;27
2049;1;745;0,37;27
2050;0;-936;-436;27
2051;0;538;-1023;27
2052;0;-1692;204;27
2053;0;794;991;27
2054;1;1032;1,62;27
2055;1;262;3128;27
2056;1;184;1572;27
2057;0;-1313;-425;27
2058;1;1681;1149;27
2059;1;-465;1209;27
2060;0;-491;-1204;27
2061;0;1002;-1252;27
2062;0;0,46;-0,26;27
2063;0;541;-892;27
2064;1;0,85;-676;27
2065;0;707;-1,23;27
2066;1;-586;-329;27
2067;0;-1091;1487;27
2068;0;1607;-331;27
2069;0;-1,14;1306;27
2070;0;701;-151;27
2071;1;328;503;27
2072;0;-45;1057;27
2073;1;-85;-932;27
2074;0;-308;-446;27
2075;0;168;-1176;27
2076;0;54;-1916;27
2077;1;89;-281;27
2078;1;1231;204;27
2079;0;-474;-1133;27
2080;0;-2088;-2059;27
2081;0;-892;-313;27
2082;0;1846;-916;27
2083;0;-983;628;27
2084;0;-1168;51;27
2085;1;-0,09;657;27
2086;1;-669;674;27
2087;0;-699;1021;27
2088;0;1,05;-1,73;27
2089;0;-921;-796;27
2090;1;-577;1021;27
2091;0;-1043;-164;27
2092;1;278;3581;27
2093;0;-1287;759;27
2094;1;0,43;-49;27
2095;0;-598;1556;27
2096;0;-1343;979;27
2097;0;-2,78;-1651;27
2098;1;957;686;27
2099;0;482;-1214;27
2100;0;-465;-505;27
2101;0;-751;-336;27
2102;0;203;548;27
2103;0;504;689;27
2104;0;502;-2355;27
2105;0;0,97;-476;27
2106;1;357;-522;27
2107;1;809;-385;27
2108;1;143;657;27
2109;1;468;1915;27
2110;1;-131;-197;27
2111;0;-919;289;27
2112;1;459;481;27
2113;1;918;2002;27
2114;0;-177;1,13;27
2115;0;1321;-0,24;27
2116;0;-295;-0,82;27
2117;0;-1692;1338;27
2118;1;-713;1182;27
2119;1;274;-28;27
2120;0;-391;-779;27
2121;0;-96;806;27
2122;1;-355;-0,8;27
2123;1;2768;518;27
2124;0;-1311;-1729;27
2125;0;-902;-332;27
2126;0;-254;-189;27
2127;0;-54;149;27
2128;1;692;-957;28
2129;1;94;-1081;28
2130;0;-865;1,26;28
2131;0;0,48;-277;28
2132;0;699;64;28
2133;0;98;271;28
2134;0;545;-699;28
2135;1;2726;585;28
2136;1;-67;998;28
2137;0;988;0,1;28
2138;0;137;-2038;28
2139;0;-1127;1011;28
2140;1;-0,1;1243;28
2141;1;559;1257;28
2142;1;-357;-294;28
2143;0;-662;139;28
2144;0;-582;1741;28
2145;0;-1384;1298;28
2146;0;909;-1851;28
2147;0;0,82;-49;28
2148;1;737;1417;28
2149;1;-248;-103;28
2150;0;-0,64;538;28
2151;0;-934;-515;28
2152;1;-182;-428;28
2153;1;2114;-94;28
2154;0;-605;247;28
2155;0;-874;1502;28
2156;1;-1252;-1367;28
2157;0;-248;1;28
2158;1;-218;1692;28
2159;1;947;2605;28
2160;1;1056;1167;28
2161;1;-413;-339;28
2162;1;-1763;-1117;28
2163;0;198;1178;28
2164;1;814;1,66;28
2165;0;187;311;28
2166;0;-69;188;28
2167;0;-782;-794;28
2168;1;-586;-2339;28
2169;1;2345;-389;28
2170;1;-1068;-2618;28
2171;0;-1936;1175;28
2172;0;-863;1,29;28
2173;0;-495;492;28
2174;1;643;234;28
2175;0;1197;-1338;28
2176;0;71;-239;28
2177;0;-148;1394;28
2178;1;-1676;0;28
2179;0;1069;-1705;28
2180;1;-186;294;28
2181;1;-655;-548;28
2182;1;-952;-1201;28
2183;1;1315;1,53;28
2184;1;978;-412;28
2185;0;-1006;286;28
2186;0;695;1386;29
2187;1;516;-422;29
2188;1;1328;22;29
2189;1;-1248;-2554;29
2190;1;741;-173;29
2191;1;167;-1955;29
2192;0;406;255;29
2193;0;-226;1149;29
2194;0;-1,74;133;29
2195;1;0,81;-385;29
2196;0;-219;-98;29
2197;1;1034;-0,78;29
2198;1;1675;-276;29
2199;0;-812;239;29
2200;1;688;-215;29
2201;1;315;-1045;29
2202;0;-6;-104;29
2203;1;-1219;-1043;29
2204;0;403;489;29
2205;0;-63;975;29
2206;0;281;-381;29
2207;0;-1287;-38;29
2208;1;1165;-874;29
2209;0;777;384;29
2210;0;-622;2,1;29
2211;0;-429;674;29
2212;1;-0,14;387;29
2213;1;731;655;29
2214;1;391;-1176;29
2215;0;-815;16;29
2216;0;-753;2276;29
2217;1;974;419;29
2218;0;347;231;29
2219;0;-1301;-327;29
2220;1;-546;-337;29
2221;1;-57;-1428;29
2222;1;-112;-1243;29
2223;0;1,22;491;29
2224;1;-0,79;-1161;29
2225;1;1593;-923;29
2226;0;-0,8;-727;29
2227;1;-1398;-1178;29
2228;0;676;1178;29
