"";"pass";"math";"activity";"school"
"775";1;1,716;-0,201;"11"
"776";1;1,476;-1,582;"11"
"777";1;-0,157;-0,97;"11"
"778";1;1,376;0,624;"11"
"779";0;-1,821;-1,077;"11"
"780";1;1,418;-0,206;"11"
"781";0;-1,045;0,231;"11"
"782";1;0,188;-1,889;"11"
"783";1;-0,924;-0,284;"11"
"784";0;-0,84;-0,616;"11"
"785";0;-0,819;0,676;"11"
"786";1;0,654;-0,465;"11"
"787";1;-0,333;-0,085;"11"
"788";0;-0,041;0,475;"11"
"789";1;1,345;0,982;"11"
"790";0;-0,536;-0,473;"11"
"791";0;-1,764;0,12;"11"
"792";1;0,886;0,131;"11"
"793";0;0,899;0,689;"11"
"794";0;-1,562;-0,749;"11"
"795";1;-0,841;0,473;"11"
"796";1;0,108;0,832;"11"
"797";0;-0,339;2,504;"11"
"798";0;-1,629;0,382;"11"
"799";1;1,629;2,634;"11"
"800";0;-0,635;-0,979;"11"
"801";1;1,34;1,864;"11"
"802";0;-1,03;1,466;"11"
"803";0;0,111;-1,444;"11"
"804";0;-2,169;0,7;"11"
"805";1;0,807;-0,229;"11"
"806";1;-0,076;-1,315;"11"
"807";1;-0,13;0,202;"11"
"808";0;-0,357;0,188;"11"
"809";0;-1,071;0,298;"11"
"810";1;2,42;-0,091;"11"
"811";1;1,592;0,081;"11"
"812";1;-0,83;-1,106;"11"
"813";0;-0,245;0,482;"11"
"814";1;2,256;1,263;"11"
"815";1;-1,053;-0,881;"11"
"816";1;-1,129;1,353;"11"
"817";0;0,667;1,108;"11"
"818";1;0,829;-0,537;"11"
"819";0;-0,534;0,044;"11"
"820";1;-1,056;-0,403;"11"
"821";1;1,054;0,482;"11"
"822";0;0,566;-0,205;"11"
"823";0;-1,053;-0,305;"11"
"824";1;-0,295;-1,278;"12"
"825";1;-0,619;-0,617;"12"
"826";0;0,49;-0,166;"12"
"827";0;-1,475;0,475;"12"
"828";0;-0,697;0,575;"12"
"829";1;-0,557;-0,823;"12"
"830";1;-0,34;-3,162;"12"
"831";1;2,282;0,812;"12"
"832";0;-0,195;0,078;"12"
"833";1;1,538;-0,839;"12"
"834";0;1,826;-0,627;"12"
"835";0;-0,022;0,297;"12"
"836";0;0,826;-0,687;"12"
"837";1;-0,079;-0,5;"12"
"838";0;-1,03;0,997;"12"
"839";1;0,563;-1,306;"12"
"840";0;0,808;1,792;"12"
"841";1;-1,214;-1,163;"12"
"842";0;-0,615;0,822;"12"
"843";0;0,853;-0,142;"12"
"844";0;-1,785;0,86;"12"
"845";0;-0,799;-0,01;"12"
"846";1;0,748;0,048;"12"
"847";1;1,628;0,235;"12"
"848";0;0,272;0,609;"12"
"849";0;1,599;0,701;"12"
"850";0;-1,026;-0,938;"12"
"851";1;-0,829;-0,286;"12"
"852";0;-1,358;0,063;"12"
"853";1;-0,491;-1,15;"12"
"854";1;-1,975;-1,16;"12"
"855";0;-1,942;0,034;"12"
"856";0;1,415;0,162;"12"
"857";1;1,024;0,308;"12"
"858";1;-0,832;-2,535;"12"
"859";1;-1,089;0,028;"12"
"860";1;1,398;0,196;"12"
"861";0;0,649;-0,476;"12"
"862";0;0,85;0,311;"12"
"863";1;0,499;-0,12;"12"
"864";0;-1,761;1,675;"12"
"865";0;-0,461;0,733;"12"
"866";1;-0,376;-2,796;"12"
"867";0;0,148;0,181;"12"
"868";0;1,638;1,109;"12"
"869";1;0,145;-0,603;"12"
"870";1;0,169;-1,079;"12"
"871";0;-0,891;0,455;"12"
"872";0;-0,185;1,295;"12"
"873";0;0,96;1,766;"12"
"874";0;-1,057;0,104;"12"
"875";1;0,103;-2,367;"12"
"876";0;-1,259;-0,091;"12"
"877";0;-1,228;1,244;"12"
"878";1;0,94;-1,034;"12"
"879";0;-0,908;-0,002;"12"
"880";1;-0,1;0,449;"12"
"881";0;0,082;-0,33;"12"
"882";0;0,51;0,339;"12"
"883";0;-1,135;1,494;"12"
"884";1;-0,59;0,28;"12"
"885";0;-0,305;-0,249;"12"
"886";1;2,377;-3,57;"12"
"887";0;1,044;1,095;"12"
"888";0;0,735;1,348;"12"
"889";1;-1,005;-1,77;"12"
"890";0;0,687;0,295;"12"
"891";1;-0,312;-0,14;"12"
"892";1;0,101;-0,468;"12"
"893";1;0,713;-0,174;"12"
"894";0;0,739;-0,507;"12"
"895";1;1,22;-1,971;"12"
"896";1;1,131;-1,166;"12"
"897";0;-0,118;-0,031;"12"
"898";0;-0,705;0,456;"12"
"899";0;0;0,425;"12"
"900";0;-2,538;0,852;"12"
"901";0;-1,727;1,187;"13"
"902";0;-0,981;0,013;"13"
"903";1;1,706;0,262;"13"
"904";0;-0,577;-0,093;"13"
"905";0;0,936;-0,178;"13"
"906";1;0,359;1,098;"13"
"907";1;0,122;-0,113;"13"
"908";0;-0,296;-0,203;"13"
"909";0;1,692;-0,603;"13"
"910";0;-0,534;-0,904;"13"
"911";1;-0,245;0,892;"13"
"912";0;0,432;-1,49;"13"
"913";0;0,118;-0,124;"13"
"914";0;1,424;0,184;"13"
"915";0;0,218;-2,342;"13"
"916";0;1,125;-0,262;"13"
"917";0;-0,221;-1,82;"13"
"918";1;1,558;0,581;"13"
"919";1;0,562;-0,063;"13"
"920";1;0,935;0,97;"13"
"921";0;0,212;-0,65;"13"
"922";0;-0,107;0,305;"13"
"923";0;-0,226;-1,057;"13"
"924";0;0,246;-0,122;"13"
"925";0;-0,509;-0,771;"13"
"926";0;-1,572;-0,606;"13"
"927";0;1,099;-0,614;"13"
"928";1;-1,34;0,822;"13"
"929";0;1,447;-0,457;"13"
"930";0;-0,331;-1,18;"13"
"931";0;-0,599;-0,604;"13"
"932";0;-0,697;-0,624;"13"
"933";0;0,915;0,956;"13"
"934";1;-0,228;1,354;"13"
"935";0;-0,056;0,667;"13"
"936";1;1,202;0,398;"13"
"937";1;0,743;1,072;"13"
"938";1;-0,165;1,714;"13"
"939";0;0,496;-0,943;"13"
"940";0;-0,411;-2,152;"13"
"941";0;-0,008;-0,159;"13"
"942";0;1,256;0,542;"13"
"943";0;0,196;-1,059;"13"
"944";1;1,166;0,666;"13"
"945";1;-1,049;1,513;"13"
"946";0;0,647;-0,346;"13"
"947";0;-1,226;-0,81;"13"
"948";0;-1,273;-1,178;"13"
"949";0;-0,014;0,174;"13"
"950";0;0,761;-0,055;"13"
"951";0;-0,711;-0,478;"13"
"952";0;1,565;-0,552;"13"
"953";0;1,482;-0,07;"13"
"954";1;-0,382;1,205;"13"
"955";0;-0,74;-0,069;"13"
"956";1;-0,577;1,019;"13"
"957";1;1,421;1,254;"13"
"958";1;-0,868;2,992;"13"
"959";0;2,028;-1,662;"13"
"960";0;1,351;-0,091;"13"
"961";0;1,35;-1,038;"13"
"962";1;0,406;3,123;"13"
"963";0;0,421;0,378;"13"
"964";1;0,306;0,941;"13"
"965";1;0;0,959;"13"
"966";0;0,141;-0,607;"13"
"967";0;-0,428;-1,191;"13"
"968";0;-0,324;-0,612;"13"
"969";1;-0,464;0,503;"13"
"970";0;-0,966;-1,595;"13"
"971";0;0,366;-1,792;"13"
"972";0;-0,807;-0,247;"13"
"973";1;-0,87;0,238;"13"
"974";1;0,788;0,947;"13"
"975";0;0,124;-0,262;"13"
"976";0;0,169;0,087;"13"
"977";0;1,11;-1,79;"13"
"978";1;1,388;0,117;"13"
"979";0;1,223;0,216;"13"
"980";0;-1,293;0,037;"13"
"981";0;-1,345;-0,71;"13"
"982";1;0,394;-0,285;"13"
"983";0;0,133;-0,776;"13"
"984";0;-0,097;1,339;"14"
"985";1;2,633;0,551;"14"
"986";0;-0,62;-0,204;"14"
"987";1;0,173;-1,2;"14"
"988";0;-0,276;0,888;"14"
"989";0;0,016;1,91;"14"
"990";0;-0,864;0,598;"14"
"991";0;-0,298;0,617;"14"
"992";0;1,899;0,045;"14"
"993";0;0,469;1,725;"14"
"994";0;-1,122;0,853;"14"
"995";0;-1,083;0,594;"14"
"996";0;-0,623;0,371;"14"
"997";0;0,833;0,068;"14"
"998";1;0,273;-1,037;"14"
"999";0;0,204;-0,085;"14"
"1000";0;0,261;0,708;"14"
"1001";0;-1,092;-0,368;"14"
"1002";1;-0,05;0,031;"14"
"1003";1;0,256;-1,137;"14"
"1004";0;-1,108;0,754;"14"
"1005";0;1,122;-0,637;"14"
"1006";0;-0,865;0,473;"14"
"1007";1;-0,081;-0,767;"14"
"1008";0;-2,27;0,387;"14"
"1009";0;-0,26;2,003;"14"
"1010";1;-1,022;-0,339;"14"
"1011";0;-1,168;1,05;"14"
"1012";1;-0,123;0,076;"14"
"1013";1;0,553;0,086;"14"
"1014";1;-1,055;-2,255;"14"
"1015";0;2,147;0,581;"14"
"1016";0;-0,935;1,67;"14"
"1017";0;-1,072;0,162;"14"
"1018";0;-0,964;1,506;"14"
"1019";1;-1,148;-0,69;"14"
"1020";0;0,268;0,152;"14"
"1021";1;-0,549;-1,926;"14"
"1022";1;0,335;0,469;"14"
"1023";0;0,426;1,224;"14"
"1024";1;-1,518;0,345;"14"
"1025";1;0,116;0,343;"14"
"1026";0;-0,599;-0,977;"14"
"1027";0;-0,296;-0,712;"14"
"1028";1;3,228;1,165;"14"
"1029";1;0,298;-0,233;"14"
"1030";0;-1,419;0,533;"14"
"1031";0;2,193;-1,688;"14"
"1032";1;0,277;-1,864;"14"
"1033";0;-0,9;-0,477;"14"
"1034";0;-1,143;0,787;"14"
"1035";0;1,67;0,069;"14"
"1036";0;-0,763;1,043;"14"
"1037";1;-0,621;-1,454;"14"
"1038";1;-0,048;-1,679;"14"
"1039";1;-1,241;-0,644;"14"
"1040";1;2,123;-0,539;"14"
"1041";0;0,168;-0,359;"14"
"1042";1;0,481;-0,974;"14"
"1043";1;0,574;-0,963;"15"
"1044";1;1,751;1,531;"15"
"1045";1;-1,488;0,515;"15"
"1046";1;0,884;0,622;"15"
"1047";1;0,304;1,258;"15"
"1048";0;0,85;-1,093;"15"
"1049";1;-0,061;0,857;"15"
"1050";1;-0,56;-0,87;"15"
"1051";1;1,562;2,156;"15"
"1052";1;-1,868;-0,616;"15"
"1053";0;-0,257;-1,112;"15"
"1054";1;-0,088;0,523;"15"
"1055";1;1,459;0,523;"15"
"1056";1;1,143;-0,549;"15"
"1057";1;0,324;0,001;"15"
"1058";1;-0,857;0,205;"15"
"1059";1;-1,745;-0,483;"15"
"1060";1;0,286;1,312;"15"
"1061";1;0,97;1,165;"15"
"1062";1;1,028;0,584;"15"
"1063";1;-1,302;-0,664;"15"
"1064";1;0,099;0,634;"15"
"1065";1;1,094;0,062;"15"
"1066";1;0,539;-0,834;"15"
"1067";1;0,739;-0,998;"15"
"1068";1;0,107;0,753;"15"
"1069";1;-0,506;0,28;"15"
"1070";1;0,69;-0,096;"15"
"1071";0;-0,064;-1,916;"15"
"1072";1;0,461;1,117;"15"
"1073";1;1,552;0,635;"15"
"1074";1;0,699;0,036;"15"
"1075";1;0,188;1,35;"15"
"1076";0;-0,58;-1,554;"15"
"1077";1;-0,705;1,232;"15"
"1078";1;1,034;0,378;"15"
"1079";1;0,633;-0,197;"15"
"1080";1;-1,673;0,238;"15"
"1081";0;-0,556;-0,182;"15"
"1082";1;-1,986;-0,2;"15"
"1083";1;0,271;1,156;"15"
"1084";0;-1,176;-1,552;"15"
"1085";1;-1,437;0,346;"15"
"1086";1;0,184;1,649;"15"
"1087";1;-0,187;-0,327;"15"
"1088";1;-0,162;1,413;"15"
"1089";1;1,522;0,344;"15"
"1090";1;1,573;-0,566;"15"
"1091";1;-0,092;0,702;"15"
"1092";1;1,124;0,273;"15"
"1093";1;-0,003;-0,092;"15"
"1094";1;1,87;-0,339;"15"
"1095";1;-0,484;2,156;"15"
"1096";1;1,925;2,085;"15"
"1097";1;-1,61;0,431;"15"
"1098";1;0,295;0,412;"15"
"1099";1;-1,071;0,07;"15"
"1100";0;0,326;-0,027;"15"
"1101";0;0,132;-0,16;"15"
"1102";1;1,198;0,543;"15"
"1103";1;-0,568;-0,951;"15"
"1104";1;-0,869;0,047;"15"
"1105";1;-0,202;0,906;"15"
"1106";1;-0,595;-0,827;"15"
"1107";1;1,155;-0,449;"15"
"1108";1;1,573;-0,065;"15"
"1109";1;0,996;0,359;"15"
"1110";1;-0,306;0,151;"15"
"1111";0;-0,96;0,114;"15"
"1112";0;-0,613;-0,645;"15"
"1113";1;-0,103;1,759;"15"
"1114";1;-0,759;1,169;"15"
"1115";1;-0,706;-0,228;"15"
"1116";1;-0,058;-0,024;"15"
"1117";1;1,092;1,091;"15"
"1118";1;0,022;1,354;"15"
"1119";1;-0,357;1,777;"15"
"1120";1;-0,122;0,452;"15"
"1121";1;-0,902;-0,325;"15"
"1122";1;-0,623;0,514;"15"
"1123";1;0,996;0,555;"15"
"1124";1;-0,776;0,051;"15"
"1125";1;0,533;0,599;"15"
"1126";1;-0,294;-0,881;"15"
"1127";1;-0,533;0,202;"16"
"1128";1;-1,309;0,424;"16"
"1129";1;-0,502;1,507;"16"
"1130";1;-0,591;-0,311;"16"
"1131";1;0,209;-0,702;"16"
"1132";0;0,451;0,824;"16"
"1133";1;0,02;-0,702;"16"
"1134";1;0,762;0,711;"16"
"1135";1;0,392;0,212;"16"
"1136";0;-0,848;0,295;"16"
"1137";1;0,629;-0,293;"16"
"1138";1;1,017;-0,334;"16"
"1139";1;1,17;-1,807;"16"
"1140";1;-0,2;-0,454;"16"
"1141";0;-3,022;1,459;"16"
"1142";1;0,084;-1,126;"16"
"1143";1;-1,781;-0,77;"16"
"1144";1;-0,976;-1,958;"16"
"1145";1;-0,64;1,2;"16"
"1146";1;-0,336;-1,024;"16"
"1147";1;0,279;-0,379;"16"
"1148";0;-1,444;1,344;"16"
"1149";1;-0,523;0,395;"16"
"1150";1;0,487;-2,619;"16"
"1151";1;-0,993;-0,281;"16"
"1152";1;-0,229;-0,551;"16"
"1153";1;-2,55;0,116;"16"
"1154";1;0,531;-0,217;"16"
"1155";0;-0,521;1,627;"16"
"1156";1;0,855;-0,065;"16"
"1157";1;1,716;-0,999;"16"
"1158";1;-1,168;-0,804;"16"
"1159";1;0,441;-0,946;"16"
"1160";1;0,197;-1,335;"16"
"1161";1;1,162;-0,731;"16"
"1162";1;1,184;-0,02;"16"
"1163";1;0,697;-1,265;"16"
"1164";0;0,524;1,425;"16"
"1165";1;-0,307;-0,501;"16"
"1166";0;-0,161;1,075;"16"
"1167";1;-1,596;-2,068;"16"
"1168";0;0,452;0,812;"16"
"1169";1;0,881;0,931;"16"
"1170";0;-0,726;1,773;"16"
"1171";1;-0,695;0,302;"16"
"1172";1;1,549;-1,554;"16"
"1173";1;-0,715;-0,697;"16"
"1174";1;0,332;0,053;"16"
"1175";0;-0,454;1,627;"16"
"1176";0;-0,841;0,533;"16"
"1177";1;-0,097;-1,182;"16"
"1178";1;-0,397;-0,711;"16"
"1179";0;0,189;1,761;"16"
"1180";0;-0,647;1,668;"16"
"1181";1;-1,19;0,16;"16"
"1182";1;-0,448;1,103;"16"
"1183";1;2,026;-0,257;"16"
"1184";1;0,465;-0,021;"16"
"1185";1;0,044;2,66;"17"
"1186";1;-0,745;0,295;"17"
"1187";1;1,331;1,415;"17"
"1188";1;-0,956;-0,116;"17"
"1189";1;0,956;-0,541;"17"
"1190";1;-0,097;-0,284;"17"
"1191";1;0,227;-2,465;"17"
"1192";1;0,555;0,954;"17"
"1193";1;-0,241;0,509;"17"
"1194";0;-0,036;0,418;"17"
"1195";1;0,791;-0,058;"17"
"1196";1;0,138;-1,617;"17"
"1197";1;1,284;0,838;"17"
"1198";1;-0,672;-0,163;"17"
"1199";1;-1,537;-0,65;"17"
"1200";1;-0,267;1,652;"17"
"1201";1;0,768;-0,318;"17"
"1202";1;0,124;0,283;"17"
"1203";1;-0,996;0,539;"17"
"1204";1;-1,107;0,405;"17"
"1205";1;-1,602;0,869;"17"
"1206";1;0,265;-0,204;"17"
"1207";1;-1,02;0,071;"17"
"1208";1;0,32;-0,984;"17"
"1209";1;0,164;-1,195;"17"
"1210";1;-0,389;-2,438;"17"
"1211";1;0,934;-0,714;"17"
"1212";1;-0,604;-0,645;"17"
"1213";1;1,139;-0,468;"17"
"1214";1;0,463;-0,562;"17"
"1215";1;0,323;0,721;"17"
"1216";1;-1,482;1,365;"17"
"1217";1;1,429;0,753;"17"
"1218";1;-0,533;-0,826;"17"
"1219";1;0,873;-0,744;"17"
"1220";0;-0,55;0,303;"17"
"1221";1;0,12;0,104;"17"
"1222";1;-0,573;2,399;"17"
"1223";1;0,98;-1,962;"17"
"1224";1;0,232;-0,956;"17"
"1225";1;-0,469;0,047;"17"
"1226";1;-0,927;-0,043;"17"
"1227";1;-1,192;-0,204;"17"
"1228";1;0,186;0,685;"17"
"1229";1;0;-2,527;"17"
"1230";1;-0,191;0,779;"17"
"1231";1;0,425;0,262;"17"
"1232";1;0,86;0,149;"17"
"1233";1;1,174;-0,475;"17"
"1234";1;-0,23;-0,295;"17"
"1235";1;0,162;-0,188;"17"
"1236";0;0,001;2,13;"17"
"1237";1;0,127;-0,436;"17"
"1238";1;-0,137;0,676;"17"
"1239";1;-0,278;1,211;"17"
"1240";1;0,266;-0,663;"17"
"1241";0;-1,067;0,314;"17"
"1242";0;-2,371;-0,214;"17"
"1243";1;-2,552;0,223;"17"
"1244";0;-0,793;0,775;"17"
"1245";0;-0,797;-0,831;"17"
"1246";0;-1,825;1,351;"17"
"1247";1;-1,256;-1,161;"17"
"1248";1;0,46;0,191;"17"
"1249";1;-0,082;1,826;"17"
"1250";1;-0,719;0,28;"17"
"1251";1;-0,079;-0,03;"17"
"1252";1;-0,074;1,363;"17"
"1253";1;0,418;0,567;"18"
"1254";1;0,826;-1,785;"18"
"1255";0;-0,201;1,932;"18"
"1256";1;1,067;-0,131;"18"
"1257";1;0,222;0,476;"18"
"1258";0;-1,791;0,634;"18"
"1259";1;-1,092;0,275;"18"
"1260";0;-0,379;1,63;"18"
"1261";0;0,804;1,356;"18"
"1262";1;0,59;-0,156;"18"
"1263";0;-1,455;-0,344;"18"
"1264";0;-0,101;-0,167;"18"
"1265";1;-2,142;-1,221;"18"
"1266";0;-0,206;0,18;"18"
"1267";0;-0,899;0,308;"18"
"1268";0;1,121;1,267;"18"
"1269";1;0,265;-1,884;"18"
"1270";1;-0,864;-0,136;"18"
"1271";0;-2,433;1,773;"18"
"1272";0;-0,246;-0,066;"18"
"1273";0;-1,649;1,408;"18"
"1274";1;1,711;-0,445;"18"
"1275";1;0,68;1,27;"18"
"1276";1;-0,579;0,194;"18"
"1277";1;-1,45;-1,19;"18"
"1278";0;-0,253;1,505;"18"
"1279";1;1,002;0,365;"18"
"1280";1;2,407;0,405;"18"
"1281";0;0,66;0,154;"18"
"1282";1;0,592;0,103;"18"
"1283";0;-1,053;0,428;"18"
"1284";1;2,274;0,661;"18"
"1285";0;0,087;0,598;"18"
"1286";1;-0,603;0,778;"18"
"1287";1;1,384;0,205;"18"
"1288";0;-0,333;1,026;"18"
"1289";1;0,812;-1,375;"18"
"1290";1;0,177;-1,425;"18"
"1291";1;2,357;-0,089;"18"
"1292";1;0,246;1,509;"18"
"1293";1;0,422;-1,713;"18"
"1294";1;-1,165;-0,602;"18"
"1295";1;0,396;0,533;"18"
"1296";1;0,046;-1,236;"18"
"1297";1;-1,787;0,556;"18"
"1298";1;1,073;0,895;"18"
"1299";1;-0,537;0,11;"18"
"1300";1;-0,831;-0,086;"18"
"1301";0;0,12;1,166;"18"
"1302";0;-1,626;-0,17;"18"
"1303";0;-0,209;0,495;"18"
"1304";0;0,437;0,026;"18"
"1305";1;0,784;-0,177;"18"
"1306";1;-0,052;0,409;"18"
"1307";0;-0,364;-0,132;"18"
"1308";1;-1,086;-0,127;"18"
"1309";0;0,066;-0,665;"18"
"1310";1;0,068;1,629;"18"
"1311";0;-0,199;-0,207;"19"
"1312";0;0,928;1,914;"19"
"1313";0;-0,046;0,763;"19"
"1314";1;0,662;-0,635;"19"
"1315";0;-0,023;0,782;"19"
"1316";1;-0,261;-0,212;"19"
"1317";0;-1,15;0,636;"19"
"1318";1;0,398;-0,143;"19"
"1319";0;0,797;0,943;"19"
"1320";1;-0,717;-0,142;"19"
"1321";0;0,369;0,004;"19"
"1322";1;-0,764;-1,54;"19"
"1323";1;0,045;-0,466;"19"
"1324";0;-0,334;0,885;"19"
"1325";1;-0,507;-0,999;"19"
"1326";0;1,555;-0,174;"19"
"1327";1;1,507;-1,336;"19"
"1328";1;1,701;-1,801;"19"
"1329";0;-0,954;1,066;"19"
"1330";0;-0,061;1,095;"19"
"1331";1;1,108;0,887;"19"
"1332";1;-0,493;-0,831;"19"
"1333";1;-0,362;-0,115;"19"
"1334";1;-1,02;-1,395;"19"
"1335";1;1,088;-0,919;"19"
"1336";0;-0,201;-0,656;"19"
"1337";1;0,123;-0,566;"19"
"1338";1;-1,075;-1,226;"19"
"1339";0;-0,049;-0,175;"19"
"1340";1;-1,327;-1,388;"19"
"1341";0;-1;0,548;"19"
"1342";0;1,919;0,999;"19"
"1343";1;0,515;0,551;"19"
"1344";0;-0,363;0,505;"19"
"1345";0;0,941;-0,364;"19"
"1346";1;0,564;0,693;"19"
"1347";1;-0,027;-0,032;"19"
"1348";1;-0,642;0,603;"19"
"1349";0;-0,29;0,354;"19"
"1350";0;0,699;0,883;"19"
"1351";1;1,242;0,275;"19"
"1352";1;0,689;-0,246;"19"
"1353";1;0,906;-0,438;"19"
"1354";0;1,067;0,012;"19"
"1355";1;-0,343;-0,447;"19"
"1356";0;-0,323;-0,329;"19"
"1357";1;2,983;-0,291;"19"
"1358";1;-2,169;-0,487;"19"
"1359";1;0,865;-0,951;"19"
"1360";1;0,836;-0,683;"19"
"1361";0;-0,545;1,305;"19"
"1362";0;-0,384;0,525;"19"
"1363";1;-1,077;-0,985;"19"
"1364";0;0,731;1,931;"19"
"1365";1;-0,682;-1,723;"19"
"1366";0;-0,271;1,36;"19"
"1367";1;-0,802;-1,295;"19"
"1368";0;-2,174;0,015;"19"
"1369";1;-1,583;-0,778;"19"
"1370";1;1,593;-1,328;"19"
"1371";0;0,437;2,076;"19"
"1372";1;1,791;0,607;"19"
"1373";0;0,31;0,365;"19"
"1374";0;1,765;0,395;"19"
"1375";0;0,067;0,278;"19"
"1376";1;0,805;-0,843;"19"
"1377";0;-0,023;0,757;"19"
"1378";1;0,398;-1,37;"19"
"1379";0;-1,03;1,075;"19"
"1380";1;0,866;-0,402;"19"
"1381";0;0,139;0,388;"19"
"1382";1;0,412;0,726;"19"
"1383";1;-0,691;-0,328;"19"
"1384";0;-1,397;0,082;"19"
"1385";1;0,103;-0,196;"19"
"1386";0;-2,241;0,967;"19"
"1387";1;-2,432;-0,811;"19"
"1388";1;0,687;-1,207;"19"
"1389";1;-0,005;0,871;"19"
"1390";1;-1,025;-0,516;"19"
"1391";1;-1,166;-2,008;"19"
"1392";1;1,094;-0,081;"19"
"1393";1;-1,046;0,057;"19"
"1394";0;-0,175;-0,176;"19"
"1395";0;-1,826;1,673;"19"
"1396";1;-1,501;0,158;"19"
"1397";0;-1,228;-0,397;"19"
"1398";1;-0,856;-2,064;"19"
"1399";1;0,389;0,415;"19"
"1400";0;0,589;0,83;"19"
"1401";0;1,172;1,578;"19"
"1402";1;0,37;-0,996;"19"
"1403";1;0,285;-1,352;"19"
"1404";0;0,397;0,828;"19"
"1405";1;0,068;0,123;"19"
"1406";1;-0,733;-1,436;"19"
"1407";0;-1,206;0,571;"19"
"1408";1;-0,065;1,387;"20"
"1409";1;2,018;-2,206;"20"
"1410";1;0,685;2,113;"20"
"1411";1;-0,564;0,056;"20"
"1412";0;1,534;-1,003;"20"
"1413";0;-0,928;-0,716;"20"
"1414";1;0,158;1,154;"20"
"1415";1;0,539;-0,395;"20"
"1416";0;-0,112;-0,961;"20"
"1417";0;0,334;1,894;"20"
"1418";0;-0,269;-0,552;"20"
"1419";1;0,307;0,991;"20"
"1420";1;-0,768;-1,617;"20"
"1421";1;-0,703;1,553;"20"
"1422";1;0,273;0,085;"20"
"1423";0;0,425;-1,177;"20"
"1424";1;-0,877;0,386;"20"
"1425";1;0,126;-2,289;"20"
"1426";1;0,173;0,84;"20"
"1427";1;0,8;0,046;"20"
"1428";1;-0,583;-0,932;"20"
"1429";1;0,898;0,705;"20"
"1430";1;1,228;0,015;"20"
"1431";0;-0,761;0,483;"20"
"1432";0;-1,839;0,454;"20"
"1433";0;-0,75;-0,548;"20"
"1434";0;0,28;0,923;"20"
"1435";1;1,056;0,615;"20"
"1436";1;0,799;0,207;"20"
"1437";1;0,927;0,496;"20"
"1438";0;0,7;-0,243;"20"
"1439";1;-1,42;-0,352;"20"
"1440";0;0,369;-1,298;"20"
"1441";1;1,247;0,991;"20"
"1442";1;-0,056;1,2;"20"
"1443";1;0,161;-0,88;"20"
"1444";1;-0,303;-0,722;"20"
"1445";0;0,161;-0,357;"20"
"1446";1;1,445;-1,163;"20"
"1447";0;0,535;1,142;"20"
"1448";1;0,257;0,125;"20"
"1449";1;-1,753;0,303;"20"
"1450";0;0,346;1,154;"20"
"1451";1;1,001;-1,647;"20"
"1452";1;-1,234;0,095;"20"
"1453";0;-0,292;2,614;"20"
"1454";1;-1,01;0,636;"20"
"1455";1;1,115;-1,021;"20"
"1456";1;1,624;0,402;"20"
"1457";1;0,032;-0,192;"20"
"1458";1;-1,097;-1,134;"20"
"1459";1;0,656;-0,67;"20"
"1460";0;0,426;0,059;"20"
"1461";0;-1,337;0,639;"20"
"1462";0;-0,789;0,505;"20"
"1463";0;0,162;-0,11;"20"
"1464";1;0,251;0,74;"20"
"1465";0;0,584;0,608;"20"
"1466";0;0,244;-0,177;"20"
"1467";0;-0,306;1,231;"20"
"1468";1;1,459;-0,818;"20"
"1469";1;0,812;0,029;"20"
"1470";1;1,904;0,055;"20"
"1471";1;-0,756;-1,231;"20"
"1472";1;0,03;-0,648;"20"
"1473";1;-0,889;-0,061;"20"
"1474";1;0,062;0,984;"20"
"1475";1;0,804;1,142;"20"
"1476";0;0,056;0,149;"20"
"1477";1;-2,017;-0,929;"20"
"1478";1;0,652;0,132;"20"
"1479";0;-0,767;-0,486;"20"
"1480";0;-1,02;0,002;"20"
"1481";1;0,054;0,673;"20"
"1482";0;-0,812;0,624;"20"
"1483";1;-0,289;1,746;"20"
"1484";0;0,132;0,376;"20"
"1485";1;-1,156;-0,92;"20"
"1486";0;-0,642;-0,578;"21"
"1487";1;-0,504;-0,413;"21"
"1488";0;0,132;-0,65;"21"
"1489";0;0,719;-0,38;"21"
"1490";0;-1,501;-0,091;"21"
"1491";0;0,983;-0,268;"21"
"1492";0;1,329;0,508;"21"
"1493";1;0,189;1,572;"21"
"1494";1;-0,182;1,405;"21"
"1495";1;0,668;0,513;"21"
"1496";1;0,015;1,932;"21"
"1497";0;-0,497;-0,142;"21"
"1498";0;-0,445;-0,628;"21"
"1499";0;-1,94;-2,821;"21"
"1500";1;-0,486;0,506;"21"
"1501";0;-0,013;-0,775;"21"
"1502";0;-1,751;-0,061;"21"
"1503";1;0,141;0,917;"21"
"1504";0;-1,137;-0,32;"21"
"1505";0;-1,219;0,611;"21"
"1506";0;-0,876;-0,092;"21"
"1507";0;-1,244;-0,338;"21"
"1508";0;-0,848;-2,583;"21"
"1509";0;0,222;0,786;"21"
"1510";0;-2,302;0,49;"21"
"1511";0;0,566;0,021;"21"
"1512";0;1,117;-1,144;"21"
"1513";1;1,921;1,226;"21"
"1514";0;-0,538;0,217;"21"
"1515";0;-1,293;0,797;"21"
"1516";0;-2,137;0,844;"21"
"1517";0;-0,722;0,668;"21"
"1518";0;0,284;0,7;"21"
"1519";1;-1,112;0,051;"21"
"1520";0;-0,16;0,145;"21"
"1521";0;0,827;-0,606;"21"
"1522";0;-0,086;0,11;"21"
